,,,,,,,,,,,,,,,,,,,,,,,
,,,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,,,
,,o,,,,,,,,,,,,,,,,,,,o,,
,,,1,,o,,,,,,,,,,,,,o,,2,,,
,o,,,5,,,,,o,,,,,o,,,,,6,,,o,
,o,,o,,,,,,,,,,,,,,,,,o,,o,
,o,,,,,o,,,,,,,,,,,o,,,,,o,
,o,,,,,,,,,,,P,,,,,,,,,,o,
,o,,,,,,,o,,,,,,,o,,,,,,,o,
,o,,,,,,,o,,,,,,,o,,,,,,,o,
,o,,,,,,,,,,,,,,,,,,,,,o,
,o,,,,,o,,,,,,,,,,,o,,,,,o,
,o,,o,,,,,,,,,,,,,,,,,o,,o,
,o,,,8,,,,,o,,,,,o,,,,,7,,,o,
,,,4,,o,,,,,,,,,,,,,o,,3,,,
,,o,,,,,,,,,,,,,,,,,,,o,,
,,,x,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,x,,,
,,,,,,,,,,,G,,,,,,,,,,,,
