,,,,,,,,,,o,,,,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,,,,,3,
,,o,o,o,,,,,,x,,,,,,o,o,,,,,,
,,,,,,,,,,x,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,,,,,,
,,,o,o,,,x,x,o,o,o,o,,,,,,,o,,o,,o
,,,o,,,,x,,,,,,,,,,,,,,,,
,,,o,,x,x,o,,,,,,,,,,,,x,,,,
,P,,x,,,,,,,x,,1,,,o,,,,x,,,,
,,,x,,,,,,,x,,,,,o,,,,x,,,G,
,,,o,,x,x,o,,,,,,,,,,,,x,,,,
,,,o,,,,x,,,,,,,,,,,,,,,,
,,,o,o,,,x,x,o,o,o,o,,,,,,,o,,o,,o
,,,,,,,,,,o,,,,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,,,,,,
,,o,o,o,,,,,,x,,,,,,o,o,,,,,,
,,,,,,,,,,x,,,,,,,,,,,,2,
,,,,,,,,,,o,,,,,,,,,,,,,
