P,,,,,,o,,,,o,,,,,,,,,,,,,
,,o,,o,,x,,o,,,,o,x,o,o,,o,o,o,o,o,o,
,o,o,,o,o,o,,o,o,o,x,o,,,o,,o,,6,,,,
,o,,,,,,,,,o,,o,o,,,,o,,o,,o,o,o
,,,o,o,,o,o,o,,o,,o,o,o,o,o,o,,o,,,,
,o,,,o,x,o,,x,,2,,x,,,o,,,,o,o,o,o,
,o,o,,o,,o,,o,,o,,o,o,,o,,o,x,o,,,,
,,x,,,,o,,o,,o,,,,,,,o,,o,x,o,o,o
o,o,o,,o,o,o,,5,,o,,o,o,o,o,,,,o,,,,
,,,1,,,o,,o,,o,,,,o,,,o,o,o,,o,o,
,o,o,o,o,,o,,o,,o,o,o,,o,,o,o,,,7,o,,
,o,,x,,,o,,o,,,,,,o,,,,,o,o,o,,o
,,,o,,o,o,,o,o,,o,o,o,o,,o,o,,x,,,,
,o,o,o,,o,,,,o,,,,,x,,,,3,o,o,o,o,
,o,,,,,,o,,o,o,,o,o,o,o,o,o,,o,,G,x,
,o,,o,x,o,,o,,,,,,,o,,,,,o,,o,o,
,o,,o,,o,,o,o,,o,x,o,,o,,,o,o,o,,o,,
,,4,,,o,,,x,,o,,,,o,,,,,,,,,o
