,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,G,,,,,,,,,,,,
,,o,,,,o,o,o,o,,,,,o,o,o,o,,,,o,,
,,o,o,,,,o,o,o,o,,,o,o,o,o,,,,o,o,,
,,o,o,o,,,,o,o,o,o,o,o,o,o,,,,o,o,o,,
,,o,o,o,o,,,,o,o,o,o,o,o,,,,o,o,o,o,,
,,o,o,o,o,o,,,,o,o,o,o,,,,o,o,o,o,o,,
,,o,o,o,o,o,o,,,,o,o,,,,o,o,o,o,o,o,,
,,o,o,o,o,o,o,o,,,,,,,o,o,o,o,o,o,o,,
,,o,o,o,o,o,o,o,,,,,,,o,o,o,o,o,o,o,,
,,o,o,o,o,o,o,,,,o,o,,,,o,o,o,o,o,o,,
,,o,o,o,o,o,,,,o,o,o,o,,,,o,o,o,o,o,,
,,o,o,o,o,,,,o,o,o,o,o,o,,,,o,o,o,o,,
,,o,o,o,,,,o,o,o,o,o,o,o,o,,,,o,o,o,,
,,o,o,,,,o,o,o,o,,,o,o,o,o,,,,o,o,,
,,o,,,,o,o,o,o,,,,,o,o,o,o,,,,o,,
,,,,,,,,,,,,P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
