,,,,o,o,,,o,o,,,,,o,o,,,o,o,,,,P
B,,,,,,,,,,,o,o,,,,,,,,,,,
,,o,o,,,o,o,,,,o,o,,,,o,o,,,o,o,,
,,o,o,,,o,o,,,,,,,,,o,o,,,o,o,,
o,,,,,,,,,,,,,,,,,,,,,,,o
o,,,,,,,,,,,o,o,,,,,,,,,,,o
,,o,o,,,o,o,,,,o,o,,,,o,o,,,o,o,,
,,o,o,,,o,o,,,,,,,,,o,o,,,o,o,,
o,,,,4,,,,,,,,,,,,,,,,,,,o
o,,,,,3,,,,,,,,,,,,,,,,,,o
,,o,o,,,o,o,,,,,,,,,o,o,,,o,o,,
,,o,o,,,o,o,,,,o,o,,,,o,o,,,o,o,,
o,,,,,,,,5,,,o,o,,,,,,,,,,,o
o,,,,,,,,,6,,,,,,,,,,,,,,o
,,,G,,,o,o,,,,,,,,,o,o,,,o,o,,
,,,,,,o,o,,,,o,o,,,,o,o,,,o,o,,
1,,,,,,,,,,,o,o,,,,,,,,,,,
,2,,,o,o,,,o,o,,,,,o,o,,,o,o,,,D,
