o,o,o,o,o,o,o,o,o,o,,,,,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,,6,,,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,,,,,o,o,o,o,o,o,o,o,o,o
o,o,o,o,o,o,o,o,o,o,2,3,4,5,o,o,o,o,o,o,o,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,x,x,o,,,,,,,,,,
,,o,o,,,,,,,,,,,,,,,,,o,o,,
,,o,o,,,,,,,,,,,,,,,,,o,o,,
,,x,x,,,,,,,,,,,,,,,,,x,x,,
,,x,x,,,,,,,,,,,,,,,,,x,x,,
,,x,x,,,,,,,,,,,,,,,,,x,x,,
,,x,x,,,,,,,,,,,,,,,,,x,x,,
,,o,o,,,,,,,,,,,,,,,,,o,o,,
,,o,o,,,,,,,,1,,,,,,,,,o,o,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
